# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
5c5680325cf73c7781b9d4ebdc8d4cabf11e46ae	4.0	7.0	0.0	8.0	3.0	8.0	0.0	2.0	4.0	4.0	3.0	13.0	0.0	3.0	1.0	0.0	1.0	3.0	1.0	3.0	1.0	4.0	2.0	2.0
6b17e7328b62632adadfaad7df3ff1d18a7fb124	0.0	0.0	0.0	0.0	21.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
c7c7eb6b630bb87fcdf2a7700ea7a4921498afdb	0.0	5.0	0.0	0.0	2.0	10.0	0.0	3.0	2.0	0.0	0.0	8.0	3.0	1.0	5.0	28.0	0.0	1.0	6.0	0.0	12.0	0.0	1.0	0.0
ce5e437b74a992aace55430d3f6d305e05176f40	0.0	2.0	0.0	0.0	2.0	0.0	1.0	3.0	0.0	2.0	1.0	2.0	3.0	7.0	0.0	6.0	1.0	3.0	0.0	4.0	6.0	0.0	0.0	11.0
85b1cb8a5abc00b37e72b78546594a345c735cee	1.0	4.0	4.0	1.0	3.0	1.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	2.0	1.0
8e22e66c7199c1c4972c280124efcb566b3c5fb3	2.0	11.0	3.0	0.0	0.0	2.0	1.0	8.0	3.0	5.0	2.0	2.0	2.0	0.0	3.0	0.0	3.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0
ca8eb5d823c562b22fd4db3d3eb1451d6d387beb	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	18.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cdeecec704fd63d496a684d05f07049ad7021f3d	0.0	17.0	7.0	0.0	0.0	0.0	6.0	15.0	3.0	6.0	0.0	1.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
50a908565fb9d8707af3f5ffe77036f88f28d174	5.0	8.0	17.0	6.0	2.0	3.0	0.0	6.0	1.0	2.0	2.0	0.0	2.0	0.0	0.0	3.0	4.0	0.0	1.0	1.0	0.0	1.0	1.0	4.0
d29a427de9ce704eda5c93aba78f5c1524d56245	2.0	2.0	0.0	8.0	0.0	6.0	0.0	9.0	0.0	0.0	1.0	6.0	4.0	1.0	1.0	15.0	0.0	8.0	5.0	0.0	9.0	15.0	7.0	0.0
68605f002473699cba3a2d38fa18877f1bd12534	0.0	15.0	4.0	1.0	0.0	0.0	3.0	6.0	1.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1976330d99329be587fa7724227663a92f2127b4	3.0	3.0	2.0	0.0	1.0	0.0	7.0	0.0	0.0	16.0	3.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0
5afefc46081717af6745bf68f22d7304c8dff3cc	1.0	10.0	3.0	9.0	6.0	4.0	6.0	10.0	2.0	5.0	1.0	1.0	5.0	8.0	7.0	1.0	2.0	0.0	0.0	9.0	1.0	2.0	1.0	10.0
ed20787eecf6fe2c5f7eedd9858df42fdaf6564f	0.0	6.0	0.0	1.0	9.0	7.0	1.0	3.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	8.0	1.0	1.0	2.0
f2f21a2a6f4d5b49c250784e8f5a5517c5559627	0.0	5.0	1.0	3.0	7.0	1.0	4.0	4.0	0.0	16.0	2.0	1.0	1.0	9.0	4.0	2.0	1.0	3.0	0.0	15.0	2.0	0.0	3.0	11.0
806220034e094c3e85e07f01969f031da71a1454	1.0	12.0	1.0	0.0	0.0	0.0	4.0	7.0	2.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85de0d28998e9753565aca606f1dcc4fb23ea4cc	0.0	7.0	0.0	4.0	0.0	0.0	2.0	6.0	0.0	2.0	0.0	2.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
1afa753a05ebccb286916f652b40857dbe6dd883	2.0	0.0	0.0	1.0	1.0	4.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0	3.0	2.0	7.0	0.0	2.0	2.0	1.0	8.0	8.0	1.0	2.0
868a0ae1abf4bc22366b1bd8241de67d3c008b0e	2.0	12.0	3.0	2.0	1.0	3.0	4.0	14.0	6.0	3.0	1.0	7.0	2.0	0.0	4.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0f07329b4d52d62c9723f8afe21cca9ee19aef46	0.0	16.0	1.0	0.0	10.0	0.0	7.0	15.0	7.0	13.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
19dbae675b5aa4cc6bb0a1b160e480dce270112a	0.0	11.0	2.0	1.0	0.0	0.0	2.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7e92083e0194bca93daf667bd3a34edb3f670f96	0.0	11.0	3.0	0.0	1.0	0.0	9.0	18.0	5.0	13.0	0.0	0.0	0.0	1.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
469ed0974769370e94a0f76557db07e9ca7b431b	1.0	14.0	6.0	1.0	0.0	0.0	6.0	11.0	4.0	8.0	0.0	1.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aedb9e8ebc859c5914612057f692f4c9a5ad9ba5	2.0	43.0	11.0	0.0	0.0	2.0	13.0	41.0	12.0	18.0	0.0	3.0	0.0	0.0	35.0	0.0	12.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0
06385d5fa9d74406fc18160a4b709aeed81472ff	9.0	0.0	3.0	5.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	4.0	1.0	2.0	1.0
9ceef6a2ca8048bda8f2f84fbbacc6dbfd6def39	0.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	7.0	0.0	0.0	4.0	2.0	1.0	1.0
97980871a413baec914bd5bca65e3fd2545b9938	4.0	5.0	1.0	5.0	2.0	3.0	0.0	5.0	1.0	1.0	3.0	6.0	2.0	2.0	2.0	0.0	3.0	0.0	2.0	1.0	1.0	1.0	3.0	0.0
bc520450fb6500d32a1ef9b449d8cdd59eaa750c	0.0	4.0	1.0	0.0	0.0	1.0	1.0	5.0	3.0	9.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84cc81089476edd4314f84f24c9be665b92a2d19	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	2.0	0.0	7.0	0.0	1.0	9.0	1.0	6.0	1.0
3cdb162dea0c61bc6ae3079281a3dd50ca99e128	0.0	10.0	3.0	1.0	0.0	0.0	2.0	21.0	3.0	4.0	0.0	2.0	0.0	0.0	19.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4e38afd09c2761029d6a7c41308a77764211a103	0.0	8.0	1.0	0.0	8.0	2.0	10.0	5.0	1.0	19.0	0.0	0.0	0.0	1.0	5.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
